4;PAVELLO LA PLANA;LA PLANA, S/N;BADALONA ;Barcelona;8912;;;Spain
5;PAV. JOAN DEL MORAL;CRISTOFOL COLOM 47-49;SANTA COLOMA GRAM.;Barcelona;8921;;;Spain
6;CIUTAT ESPORTIVA BLANES;MAS CUNÍ, 43;BLANES;Girona;17300;;;Spain
7;POLIESPORTIU MUNIC. DEL MASNOU;CIUTAT DE SANT SEBASTIA 14;EL MASNOU ;Barcelona;8320;;;Spain
8;PALAU D'ESP. JOSEP MORA MATARO;PASSEIG CARLES PADROS, 12;MATARO ;Barcelona;8304;;;Spain
9;NOU PAV.MUN. ZONA PUIGVERT;PAIS VALENCIA, S/N;CASTELLAR DEL VALLES;Barcelona;8211;;;Spain
10;POLIESPORTIU MUNICIPAL;PLAÇA DELS VOLUNTARIS S/N;FIGUERES;Girona;17600;;;Spain
11;PAV. CASTELL D'EN PLANES;PLAÇA DEL PARE MILLAN, S/N;VIC;Barcelona;8500;;;Spain
12;PAVELLO MUNICIPAL SANT CUGAT;JAUME SABAT, S/N;SANT CUGAT VALLES;Barcelona;8190;;;Spain
13;PAVELLO POLIESPORTIU MUNICIPAL;RICART, S/N;SANT ADRIA DEL BESOS;Barcelona;8930;;;Spain
14;PAVELLO D'ESPORTS D'ARGENTONA;CTRA. VILASSAR, S/N;ARGENTONA;Barcelona;8310;;;Spain
15;PAVELLO MUNICIPAL D'ESPORTS;AVGDA, PAISOS CATALANS S/N;SALT;Girona;17190;;;Spain
16;PAVELLO ESPORTIU MUNICIPAL;MODEGUER S/N;QUART;Girona;17244;;;Spain
