17;POL.MUNICIPAL ESTACIO DEL NORD;NAPOLS, 42;BARCELONA;Barcelona;8018;;;Spain
18;PAVELLO JOAN ALAY;BAIXADA DEL MOLI, S/N;ANDORRA LA VELLA;Lleida;25000;;;Spain
19;CEM ESTRUCH-PAV.JOAN BUSQUETS;AV. PARE ANDREU DE PALMA, 9;PRAT DEL LLOBREGAT ;Barcelona;8820;;;Spain
20;NAU PARC CLOT;CANTONADA C/ LLACUNA Nº. 170;BARCELONA;Barcelona;8018;;;Spain
21;PAVELLO MUNICIPAL LA PINEDA;AV. AMADEU VIVES, 27;LA PINEDA;Tarragona;43480;;;Spain
22;PAVELLO MUNICIPAL;CTRA NAVARCLES, S/N;SANTPEDOR ;Barcelona;8251;;;Spain
23;POLIESPORTIU LES COMES;CARLES RIBA S/N;IGUALADA;Barcelona;8700;;;Spain
24;PAVELLO MUNICIPAL S.PERE RIBES;CRISTOFOL MESTRES S/N;SANT PERE DE RIBES;Barcelona;8810;;;Spain
25;PAVELLO MUNICIPAL DEL CENTRE;AVDA. GENERALITAT, 2;VILADECANS;Barcelona;8840;;;Spain
26;LLUISOS DE GRACIA;PÇA. DEL NORD, 7-10;BARCELONA;Barcelona;8024;;;Spain
27;PAVELLO JOAN SIROLLA;AVINGUDA MARIA FORTUNY, 5;REUS;Tarragona;43204;;;Spain
28;PAVELLO MUNICIPAL MARTORELL;AV. FELIX DURAN I CANYAMERES,1;MARTORELL;Barcelona;8760;;;Spain
29;POLIESPORTIU CAN SERRA;PASSEIG DR. MORAGAS, 112;BARBERA DEL VALLES;Barcelona;8210;;;Spain
30;PAVELLO SANTA MARIA DEL MAR;ARENAL S/N;COMARRUGA;Tarragona;43000;;;Spain
31;PAV. CLUB NATACIÓ TÀRREGA NOU;VERGE DE MONTSERRAT, S/N;TARREGA;Lleida;25300;;;Spain
32;PAVELLO MUNICIPAL L'ILLA;AGRICULTURA, S/N;CASTELLBISBAL;Barcelona;8755;;;Spain
